rtt_project_id	refset_sctid	project_name	project_desc
6703	55451000146109	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	8721000146106	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	9631000146108	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	97801000146108	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	98011000146102	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	98021000146107	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	98031000146109	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	98041000146101	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	98051000146103	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	98061000146100	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	99051000146107	Netherlands Refset Project	Main Refset Project for Dutch NRC
801	2.16.840.1.113883.2.20.3.210	Canada Infoway Project	Canada Infoway Project
801	23671000087102	Canada Infoway Project	Canada Infoway Project
802	723264001	SNOMED International WIP Project	Uses terminology server and MAIN line, not to be used for production release of refsets
99999	1021000036104	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1050711000168101	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1050951000168102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	105891000036102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1061861000168107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1072351000168102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	11000036103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1141581000168103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1156291000168106	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1164231000168107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1165891000168108	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1183941000168107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1184281000168105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1184831000168105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1200161000168100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1203181000168101	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1234411000168107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1244621000168103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1332931000168105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1332941000168101	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1332951000168104	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1332961000168102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	142321000036106	Australia NRC Reference Sets	Australia Reference Sets Project
99999	142341000036103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1453441000168107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1479981000168107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1488531000168102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1489271000168107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1495581000168106	Australia NRC Reference Sets	Australia Reference Sets Project
99999	15071000036100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1514151000168100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1525861000168104	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1545561000168103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1550501000168106	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1563251000168109	Australia NRC Reference Sets	Australia Reference Sets Project
99999	1568041000168105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	171881000036108	Australia NRC Reference Sets	Australia Reference Sets Project
99999	171991000036103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	2021000036107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	21000036105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	231000036106	Australia NRC Reference Sets	Australia Reference Sets Project
99999	3021000036100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32566021000036108	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32567021000036105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32568021000036109	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32569021000036103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570061000036105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570071000036102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570081000036100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570091000036103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570101000036107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570111000036109	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570121000036102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570131000036100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570141000036105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570151000036108	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570161000036106	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570171000036103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570181000036101	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570191000036104	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570201000036102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570211000036100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570311000036106	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570321000036104	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570331000036102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570341000036107	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570351000036105	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570361000036108	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570371000036100	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570381000036103	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570391000036101	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570481000036109	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570501000036104	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570511000036102	Australia NRC Reference Sets	Australia Reference Sets Project
99999	32570521000036109	Australia NRC Reference Sets	Australia Reference Sets Project
